ID             ,  Locality      , DD , MM , YY , Stasjonsnr , Stadium, DNAcons , Score , Percent , Loci
GM-TVE-E3-18   , Tvedestrand    ,13,3,15,3, Egg      ,-0.2,1,100,25
GM-TVE-E3-19   , Tvedestrand    ,13,3,15,3, Egg      ,       ,1,100,25
GM-TVE-E3-20   , Tvedestrand    ,13,3,15,3, Egg      ,       ,1,99.976,25
GM-TVE-E3-21   , Tvedestrand    ,13,3,15,3, Egg      ,22,2,100,20
GM-TVE-E3-22   , Tvedestrand    ,13,3,15,3, Egg      ,32.5,2,76.321,22
GM-TVE-E3-23   , Tvedestrand    ,13,3,15,3, Egg      ,17.5,1,99.998,23
GM-TVE-E3-26   , Tvedestrand    ,13,3,15,4, Egg      ,36,1,100,24
GM-TVE-E3-27   , Tvedestrand    ,13,3,15,4, Egg      ,       ,1,99.99,25
GM-TVE-E3-28   , Tvedestrand    ,13,3,15,4, Egg      ,       ,1,100,24
GM-TVE-E3-29   , Tvedestrand    ,13,3,15,4, Egg      ,       ,1,100,24
GM-TVE-E3-30   , Tvedestrand    ,13,3,15,4, Egg      ,       ,1,100,25
GM-TVE-E3-32   , Tvedestrand    ,13,3,15,4, Egg      ,       ,1,100,24
GM-TVE-E3-33   , Tvedestrand    ,13,3,15,4, Egg      ,44,1,99.998,24
GM-TVE-E3-34   , Tvedestrand    ,13,3,15,5, Egg      ,27,1,92.103,17
GM-TVE-E3-35   , Tvedestrand    ,24,3,15,1, Egg      ,50.5,1,100,24
GM-TVE-E3-36   , Tvedestrand    ,24,3,15,1, Egg      ,21.5,1,99.999,18
GM-TVE-E3-37   , Tvedestrand    ,24,3,15,1, Egg      ,26,1,100,20
GM-TVE-E3-38   , Tvedestrand    ,24,3,15,1, Egg      ,16,1,100,18
GM-TVE-E3-40   , Tvedestrand    ,24,3,15,1, Egg      ,29.5,1,99.988,21
GM-TVE-E3-41   , Tvedestrand    ,24,3,15,1, Egg      ,28,1,99.997,19
GM-TVE-E3-42   , Tvedestrand    ,24,3,15,1, Egg      ,25.5,1,99.992,16
GM-TVE-E3-43   , Tvedestrand    ,24,3,15,1, Egg      ,       ,1,99.999,24
GM-TVE-E3-44   , Tvedestrand    ,24,3,15,1, Egg      ,13.6,1,100,25
GM-TVE-E3-45   , Tvedestrand    ,24,3,15,1, Egg      ,       ,1,99.952,18
GM-TVE-E3-46   , Tvedestrand    ,24,3,15,1, Egg      ,       ,1,99.889,16
GM-TVE-E3-48   , Tvedestrand    ,24,3,15,1, Egg      ,15.1,1,72.075,16
GM-TVE-E3-49   , Tvedestrand    ,24,3,15,2, Egg      ,       ,1,100,25
GM-TVE-E3-50   , Tvedestrand    ,24,3,15,2, Egg      ,       ,1,99.999,25
GM-TVE-E3-51   , Tvedestrand    ,24,3,15,2, Egg      ,19.5,1,100,24
GM-TVE-E3-52   , Tvedestrand    ,24,3,15,2, Egg      ,       ,2,93.033,19
GM-TVE-E3-53   , Tvedestrand    ,24,3,15,2, Egg      ,23,1,100,25
GM-TVE-E3-54   , Tvedestrand    ,24,3,15,2, Egg      ,26.5,1,99.996,24
GM-TVE-E3-55   , Tvedestrand    ,24,3,15,2, Egg      ,21,1,100,25
GM-TVE-E3-56   , Tvedestrand    ,24,3,15,2, Egg      ,       ,1,100,25
GM-TVE-E3-57   , Tvedestrand    ,24,3,15,2, Egg      ,12.4,1,100,25
GM-TVE-E3-60   , Tvedestrand    ,24,3,15,3, Egg      ,46.5,1,100,25
GM-TVE-E3-61   , Tvedestrand    ,24,3,15,4, Egg      ,98,1,100,25
GM-TVE-E3-62   , Tvedestrand    ,24,3,15,4, Egg      ,62,1,100,25
GM-TVE-E3-63   , Tvedestrand    ,24,3,15,4, Egg      ,40,1,99.994,17
GM-TVE-JJUN-01 , Tvedestrand    ,8,6,15,1, Juvenile ,       ,1,100,24
GM-TVE-JJUN-02 , Tvedestrand    ,8,6,15,1, Juvenile ,       ,2,99.654,24
GM-TVE-JJUN-03 , Tvedestrand    ,8,6,15,1, Juvenile ,       ,1,100,24
GM-TVE-JJUN-04 , Tvedestrand    ,8,6,15,1, Juvenile ,       ,2,87.339,24
GM-TVE-JJUN-05 , Tvedestrand    ,8,6,15,1, Juvenile ,       ,1,100,24
GM-TVE-JJUN-06 , Tvedestrand    ,8,6,15,1, Juvenile ,       ,2,99.995,24
GM-TVE-JJUN-07 , Tvedestrand    ,8,6,15,1, Juvenile ,       ,2,99.996,24
GM-TVE-JJUN-08 , Tvedestrand    ,8,6,15,1, Juvenile ,       ,2,99.98,24
GM-TVE-JJUN-09 , Tvedestrand    ,8,6,15,1, Juvenile ,       ,1,100,24
GM-TVE-JJUN-10 , Tvedestrand    ,8,6,15,1, Juvenile ,       ,2,98.551,24
GM-TVE-JJUN-12 , Tvedestrand    ,8,6,15,2, Juvenile ,       ,2,99.998,24
GM-TVE-JJUN-13 , Tvedestrand    ,8,6,15,2, Juvenile ,       ,2,100,24
GM-TVE-JJUN-14 , Tvedestrand    ,8,6,15,2, Juvenile ,       ,2,99.994,24
GM-TVE-JJUN-15 , Tvedestrand    ,8,6,15,2, Juvenile ,       ,2,99.997,24
GM-TVE-JJUN-16 , Tvedestrand    ,8,6,15,2, Juvenile ,       ,1,100,24
GM-TVE-JJUN-17 , Tvedestrand    ,8,6,15,2, Juvenile ,       ,1,100,23
GM-TVE-JJUN-18 , Tvedestrand    ,8,6,15,2, Juvenile ,       ,1,99.96,24
GM-TVE-JJUN-19 , Tvedestrand    ,8,6,15,2, Juvenile ,       ,2,99.816,24
GM-TVE-JJUN-20 , Tvedestrand    ,8,6,15,2, Juvenile ,       ,1,100,24
GM-TVE-JJUN-21 , Tvedestrand    ,8,6,15,2, Juvenile ,       ,2,99.999,24
GM-TVE-JJUN-23 , Tvedestrand    ,8,6,15,2, Juvenile ,       ,2,100,24
GM-TVE-JJUN-24 , Tvedestrand    ,8,6,15,2, Juvenile ,       ,2,99.519,24
GM-TVE-JJUN-26 , Tvedestrand    ,8,6,15,2, Juvenile ,       ,1,100,24
GM-TVE-JJUN-27 , Tvedestrand    ,8,6,15,2, Juvenile ,       ,2,96.488,24
GM-TVE-JJUN-28 , Tvedestrand    ,8,6,15,3, Juvenile ,       ,2,99.884,24
GM-TVE-JJUN-29 , Tvedestrand    ,8,6,15,3, Juvenile ,       ,1,100,24
GM-TVE-JJUN-30 , Tvedestrand    ,8,6,15,3, Juvenile ,       ,2,99.687,24
GM-TVE-JJUN-31 , Tvedestrand    ,8,6,15,3, Juvenile ,       ,1,100,24
GM-TVE-JJUN-32 , Tvedestrand    ,8,6,15,3, Juvenile ,       ,1,100,22
GM-TVE-JJUN-33 , Tvedestrand    ,8,6,15,3, Juvenile ,       ,2,100,24
GM-TVE-JJUN-34 , Tvedestrand    ,8,6,15,3, Juvenile ,       ,1,99.321,24
GM-TVE-JJUN-35 , Tvedestrand    ,8,6,15,3, Juvenile ,       ,2,99.348,24
GM-TVE-JJUN-36 , Tvedestrand    ,8,6,15,3, Juvenile ,       ,2,99.687,24
GM-TVE-JJUN-37 , Tvedestrand    ,8,6,15,3, Juvenile ,       ,1,100,24
GM-TVE-JJUN-38 , Tvedestrand    ,8,6,15,3, Juvenile ,       ,1,100,25
GM-TVE-JJUN-39 , Tvedestrand    ,8,6,15,3, Juvenile ,       ,1,100,24
GM-TVE-JJUN-40 , Tvedestrand    ,8,6,15,3, Juvenile ,       ,1,99.985,24
GM-TVE-JJUN-41 , Tvedestrand    ,8,6,15,4, Juvenile ,       ,2,99.997,24
GM-TVE-JJUN-42 , Tvedestrand    ,8,6,15,4, Juvenile ,       ,2,100,24
GM-TVE-JJUN-43 , Tvedestrand    ,8,6,15,4, Juvenile ,       ,2,100,24
GM-TVE-JJUN-44 , Tvedestrand    ,8,6,15,4, Juvenile ,       ,2,100,23
GM-TVE-JJUN-45 , Tvedestrand    ,8,6,15,4, Juvenile ,       ,1,99.849,22
GM-TVE-JJUN-46 , Tvedestrand    ,8,6,15,4, Juvenile ,       ,2,99.873,24
GM-TVE-JJUN-47 , Tvedestrand    ,8,6,15,4, Juvenile ,       ,1,54.288,24
GM-TVE-JJUN-48 , Tvedestrand    ,8,6,15,4, Juvenile ,       ,2,99.999,24
GM-TVE-JJUN-49 , Tvedestrand    ,8,6,15,5, Juvenile ,       ,2,51.744,24
GM-TVE-JJUN-50 , Tvedestrand    ,8,6,15,5, Juvenile ,       ,2,94.668,24
GM-TVE-JJUN-51 , Tvedestrand    ,8,6,15,5, Juvenile ,       ,2,100,24
GM-TVE-JJUN-53 , Tvedestrand    ,8,6,15,5, Juvenile ,       ,2,100,24
GM-TVE-JJUN-54 , Tvedestrand    ,8,6,15,5, Juvenile ,       ,2,99.847,24
GM-TVE-JOKT-01 , Tvedestrand    ,12,10,15,1, Juvenile ,       ,1,56.809,24
GM-TVE-JOKT-02 , Tvedestrand    ,12,10,15,1, Juvenile ,       ,2,99.957,24
GM-TVE-JOKT-03 , Tvedestrand    ,12,10,15,1, Juvenile ,       ,1,100,24
GM-TVE-JOKT-04 , Tvedestrand    ,12,10,15,1, Juvenile ,       ,1,99.996,23
GM-TVE-JOKT-05 , Tvedestrand    ,12,10,15,1, Juvenile ,       ,1,100,24
GM-TVE-JOKT-06 , Tvedestrand    ,12,10,15,1, Juvenile ,       ,1,99.999,24
GM-TVE-JOKT-07 , Tvedestrand    ,12,10,15,1, Juvenile ,       ,1,99.993,24
GM-TVE-JOKT-08 , Tvedestrand    ,12,10,15,1, Juvenile ,       ,1,100,24
GM-TVE-JOKT-09 , Tvedestrand    ,12,10,15,1, Juvenile ,       ,1,99.976,23
GM-TVE-JOKT-10 , Tvedestrand    ,12,10,15,2, Juvenile ,       ,1,93.485,24
GM-TVE-JOKT-11 , Tvedestrand    ,12,10,15,2, Juvenile ,       ,1,100,24
GM-TVE-JOKT-12 , Tvedestrand    ,12,10,15,2, Juvenile ,       ,1,100,24
GM-TVE-JOKT-13 , Tvedestrand    ,12,10,15,3, Juvenile ,       ,1,100,24
GM-TVE-JOKT-14 , Tvedestrand    ,12,10,15,3, Juvenile ,       ,2,99.768,23
GM-TVE-JOKT-15 , Tvedestrand    ,12,10,15,3, Juvenile ,       ,1,100,24
GM-TVE-JOKT-16 , Tvedestrand    ,12,10,15,3, Juvenile ,       ,1,100,24
GM-TVE-JOKT-17 , Tvedestrand    ,12,10,15,3, Juvenile ,       ,1,99.999,24
GM-TVE-JOKT-18 , Tvedestrand    ,12,10,15,3, Juvenile ,       ,1,100,24
GM-TVE-JOKT-19 , Tvedestrand    ,12,10,15,3, Juvenile ,       ,1,100,22
GM-TVE-JOKT-20 , Tvedestrand    ,12,10,15,3, Juvenile ,       ,1,100,24
GM-TVE-JOKT-21 , Tvedestrand    ,12,10,15,3, Juvenile ,       ,1,99.998,24
GM-TVE-JOKT-22 , Tvedestrand    ,12,10,15,3, Juvenile ,       ,1,100,24
GM-TVE-JOKT-23 , Tvedestrand    ,12,10,15,3, Juvenile ,       ,1,99.967,23
GM-TVE-JOKT-24 , Tvedestrand    ,12,10,15,3, Juvenile ,       ,1,100,24
GM-TVE-JOKT-25 , Tvedestrand    ,12,10,15,3, Juvenile ,       ,1,99.891,24
